가게명 (name),주소 (address),위도 (latitude),경도 (longitude),팀명 (team),구단ID (teamId),세부분류 (subcategory),카테고리 (category),전화번호 (phone),메모 (note),태그 (tags),상태 (status)
투홀릭치킨 서초양재시민의숲역점,서울 서초구 양재동 328-12 지하1층,37.4685085,127.0410264,LG 트윈스,1,"치킨,닭강정",식당,070-8877-9292,"평일/주말 16:00-02:00 영업, 양재시민의숲역 인근, 치킨·생맥 다양, 야구 보기 좋은 분위기 (리뷰 언급)","심야 영업, 야구 시청 가능, 치킨 맛집, 단체석",ACTIVE
야구보러가자,서울 중랑구 면목로45길 15-3,37.582065,127.088074,혼합 응원,11,술집,술집,0507-1343-6194,"대형스크린, 단체응원, 사운드 ON, 워크인 가능","단체석, 응원 분위기",ACTIVE
트윈스포차,서울 강북구 한천로132길 42-1 1층,37.641255,127.029689,LG 트윈스,1,포장마차,술집,0507-1345-3711,"시야 좋은 좌석, 사운드 ON, 워크인 가능","응원 분위기, 시야 좋은 좌석, 단체석",ACTIVE
강남 두꺼비 1981 삼겹살 신논현역,서울 서초구 서초동 1302-50 B1,37.5034497,127.0226788,LG 트윈스,1,돼지고기구이,식당,070-8858-1981,"신논현역 인근 11:00-21:30 영업, 국산 녹차 먹인 돼지고기 사용, 회식·단체 모임 추천 (지하 위치)","단체석, 회식 추천, 한식·고기집",ACTIVE
죽여주는김치찜김치찌개 하남미사점,경기 하남시 망월동 1100 힐스테이트 미사역 그랑파사쥬 12-1BL 1층 1112호,37.56461,127.191472,LG 트윈스,1,한식,식당,031-793-5489,손주영 선수 루틴 맛집,야구 테마,ACTIVE
호멜포차,"서울 동작구 노들로2길 7, 드림스퀘어 상가 C동 106호",37.515243,126.93964,롯데 자이언츠,3,술집,술집,010-5317-0311,"노량진 호멜맥주 자매점, 노량진수산시장 인근, 새벽까지 영업, 야구 보기 좋은 분위기","심야 영업, 야구 시청 가능, 단체석",ACTIVE
슐미랭삼 선릉점,서울 강남구 선릉로100길 32,37.5066362,127.0497697,LG 트윈스,1,"육류,고기요리",식당,010-7757-4589,"TV 4대, 단체석","대형 TV, 단체석",ACTIVE
더블플레이치킨 홍대본점,"서울 마포구 동교로 201, 2층",37.5581789,126.9229431,혼합 응원,11,"치킨,닭강정",식당,0507-1401-9042,"대형스크린, 다중스크린, 단체응원, 사운드 ON, 워크인 가능","단체석, 응원 분위기",ACTIVE
맛도리네,서울 송파구 백제고분로32길 24,37.5003905,127.0947578,LG 트윈스,1,포장마차,술집,070-8954-1316,TV 1대,TV 보유,ACTIVE
당인리극장,서울 마포구 양화로6길 21,37.5491687,126.9154314,LG 트윈스,1,요리주점,술집,050-71355-6230,TV 2대,TV 보유,ACTIVE
레코드피자 을지로3가점,서울 중구 을지로3가 342-2 1층,37.5660393,126.9905992,LG 트윈스,1,양식,식당,010-9808-2907,"평일 11:00-03:00 / 주말 12:00-03:00 영업, 스포츠펍 분위기, DDP 인근, 얇은 도우 피자 전문, 2층 매장","심야 영업, 스포츠펍 분위기, 야구 시청 가능",ACTIVE
